도서관 목록,,,,,,,,,
번호,구분,지역,시군구,도서관명,도서관부호,도서관코드
200,공공(일반),부산,기장군,2015,,,정관도서관,126144,2060121016
201,공공(일반),대구,동구,2012,,,대구 동구 안심도서관,127049,2060122007
202,공공(일반),대구,동구,1971,,,대구2·28기념학생도서관,122001,2050122010
203,공공(일반),대구,동구,1995,,,대구동부도서관,122010,2050122003
205,공공(일반),대구,동구,2016,,,대구 동구 신천도서관,127087,2060122014
206,공공(일반),대구,북구,2017,,,태전도서관,127088,2060122015
207,공공(일반),대구,북구,1983,,,대구북부도서관,122003,2050122008
208,공공(일반),대구,서구,2018,,,비원도서관,127094,2060122019
209,공공(일반),대구,서구,2018,,,원고개도서관,127098,2060122020
210,공공(일반),대구,서구,1992,,,대구서부도서관,122008,2050122006
211,공공(일반),대구,서구,2017,,,비산도서관,127086,2060122016
212,공공(일반),대구,서구,2020,,,서구영어도서관,127095,2060122024
213,공공(일반),대구,중구,1963,2019,,대구중앙도서관달성분관,122005,2050122002
214,공공(일반),대구,중구,1919,,,대구중앙도서관,122004,2050122001
215,공공(일반),대구,수성구,2013,,,수성범어도서관,127072,2060122008
216,공공(일반),대구,수성구,1989,,,대구수성도서관,122007,2050122007
217,공공(일반),대구,수성구,2010,,,수성 책숲길도서관,127017,2060122004
218,공공(일반),대구,수성구,2019,,,수성 무학숲도서관,127096,2060122022
219,공공(일반),대구,수성구,2010,,,수성 용학도서관,127013,2060122005
220,공공(일반),대구,수성구,2015,,,수성고산도서관,127085,2060122011
221,공공(일반),대구,남구,2018,,,이천 어울림 도서관,127090,2060122021
222,공공(일반),대구,남구,2018,,,대명어울림도서관,127091,2060122018
223,공공(일반),대구,남구,1995,,,대구남부도서관,122009,2050122005
224,공공(일반),대구,달서구,2010,,,푸른초장공공도서관,127014,2030122003
225,공공(일반),대구,달서구,2008,,,달서성서도서관,127005,2060122002
226,공공(일반),대구,달서구,1981,,,대구두류도서관,122002,2050122009
227,공공(일반),대구,달서구,2018,,,달서가족문화도서관,127093,2060122017
228,공공(일반),대구,달서구,1989,,,새벗도서관,122012,2030122001
229,공공(일반),대구,달서구,2019,,,달서영어도서관,127099,2060122023
230,공공(일반),대구,달성군,2014,,,달성군립도서관,127081,2060122009
231,공공(일반),대구,달성군,2016,,,평택시립비전도서관,141031,2030122007
232,공공(일반),대구,중구,2016,,,2.28민주운동 기념회관,127058,2060122013
233,공공(일반),대구,동구,1972,2014,폐관,대구 동구 신천도서관,127087,2050122004
234,공공(일반),대구,동구,2005,,,한들마을도서관,127003,2030122002
235,공공(일반),대구,북구,2014,,,꿈꾸는마을도서관 도토리,127097,2030122005
236,공공(일반),대구,북구,2015,,,대현도서관,127084,2060122012
